                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0697,                 2.8111,                 2.1265,                0.27294,                0.23649,                0.13834,                0.05903,                 1.6833,                 2.9425,                 2.1577,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.9177,                 2.5854,                 1.8067,                0.39752,                0.36824,                0.27178,                0.12198,                  1.673,                 2.4762,                 2.1493,               0.091891,             0.00089109,             0.00089109
                      2,                 2.0457,                 2.2197,                 2.2307,                0.53699,                0.44276,                0.45414,                0.22929,                 1.5767,                 2.1485,                 2.0798,               0.087372,              0.0013723,              0.0013723
                      3,                 1.6732,                 1.7107,                 1.7162,                0.60149,                0.49463,                 0.5235,                0.29922,                 1.5051,                 1.8489,                 1.9611,               0.082844,              0.0018436,              0.0018436
                      4,                 1.7792,                  1.718,                 1.8721,                0.63562,                 0.5777,                0.62211,                0.37112,                 1.4181,                 1.5851,                 1.8102,               0.078305,               0.002305,               0.002305
                      5,                 1.5072,                 1.3393,                 1.4985,                0.72226,                  0.625,                0.70907,                0.43646,                 1.3876,                 1.3597,                 1.7161,               0.073756,              0.0027564,              0.0027564
                      6,                 1.5137,                 1.2114,                  1.425,                0.57432,                0.71284,                0.68263,                0.43504,                  1.311,                  1.283,                 1.5901,               0.069198,               0.003198,               0.003198
                      7,                  1.396,                 1.2377,                 1.4891,                0.75819,                0.65677,                0.75734,                0.46779,                 1.3333,                 1.2132,                 1.6115,                0.06463,              0.0036297,              0.0036297
                      8,                 1.3655,                 1.0953,                 1.4522,                0.55746,                0.60856,                 0.5299,                 0.2979,                 1.3986,                 1.4554,                 1.6453,               0.060052,              0.0040515,              0.0040515
                      9,                  1.492,                 1.2181,                 1.4448,                0.74749,                0.67568,                 0.7561,                 0.4647,                 1.3476,                 1.2136,                 1.6788,               0.055463,              0.0044634,              0.0044634
                     10,                 1.4107,                 1.3164,                  1.309,                 0.7723,                 0.7027,                0.78119,                0.47688,                 1.3441,                 1.2858,                  1.681,               0.050865,              0.0048654,              0.0048654
                     11,                 1.3416,                 1.1588,                 1.3813,                0.71784,                0.66182,                0.67413,                0.41404,                  1.378,                 1.3825,                 1.7048,               0.046257,              0.0052575,              0.0052575
                     12,                 1.3098,                 1.1416,                 1.3274,                0.74518,                0.70608,                0.76906,                0.47836,                  1.306,                 1.2381,                 1.6001,                0.04164,              0.0056397,              0.0056397
                     13,                  1.338,                  1.049,                 1.4261,                0.63362,                0.56673,                0.60703,                0.35218,                 1.4613,                    1.4,                 1.7967,               0.037012,               0.006012,               0.006012
                     14,                  1.202,                 0.9796,                 1.3139,                0.57508,                0.64865,                0.64657,                0.37359,                 1.3779,                 1.3411,                 1.6543,               0.032374,              0.0063744,              0.0063744
                     15,                 1.3221,                 1.1077,                 1.3321,                0.48169,                0.69595,                0.43911,                0.25614,                  1.341,                 1.7449,                 1.6452,               0.027727,              0.0067268,              0.0067268
                     16,                 1.3229,                  1.209,                 1.3661,                0.56368,                0.58921,                0.56093,                0.30622,                 1.3957,                 1.4362,                 1.6418,               0.023069,              0.0070694,              0.0070694
                     17,                 1.2584,                 1.1289,                  1.322,                0.57272,                0.67018,                0.65284,                0.40007,                 1.3381,                 1.4044,                 1.6782,               0.018402,              0.0074021,              0.0074021
                     18,                 1.2049,                 1.1284,                 1.3136,                0.51027,                0.61824,                0.53009,                0.28952,                  1.445,                 1.4601,                 1.7688,               0.013725,              0.0077249,              0.0077249
                     19,                  1.393,                 1.2017,                 1.4107,                0.75819,                0.60379,                0.63896,                0.40278,                  1.437,                 1.4155,                  1.726,              0.0090378,              0.0080378,              0.0080378
                     20,                 1.2287,                 1.0109,                 1.3196,                0.72994,                0.55743,                0.63101,                0.40439,                 1.4487,                 1.6276,                 1.7141,                0.00802,                0.00802,                0.00802
                     21,                 1.2408,                 1.1127,                 1.3874,                0.77508,                0.56081,                0.63022,                0.39022,                 1.5012,                 1.4902,                 1.7092,                0.00802,                0.00802,                0.00802
                     22,                 1.2409,                  1.034,                 1.3668,                0.77424,                  0.625,                0.64213,                0.39398,                 1.4324,                  1.414,                 1.6663,               0.007921,               0.007921,               0.007921
                     23,                 1.2411,                0.99226,                 1.3187,                0.69404,                0.61824,                0.63806,                0.38086,                 1.5684,                 1.4333,                 1.8252,               0.007822,               0.007822,               0.007822
                     24,                 1.3379,                0.99119,                 1.3712,                0.66545,                0.61149,                 0.6209,                0.37202,                 1.5434,                 1.5953,                 1.8866,               0.007723,               0.007723,               0.007723
                     25,                 1.3996,                 1.0629,                 1.3541,                0.61514,                0.57095,                0.54102,                0.30768,                 1.6148,                 1.7981,                 1.8793,               0.007624,               0.007624,               0.007624
                     26,                 1.2148,                0.90412,                 1.3473,                0.78931,                0.52027,                0.62336,                0.36534,                 1.5282,                 1.4352,                 1.8596,               0.007525,               0.007525,               0.007525
                     27,                 1.2334,                0.92145,                 1.3735,                0.73415,                0.54054,                0.58198,                0.30414,                 1.6252,                 1.6483,                  1.954,               0.007426,               0.007426,               0.007426
                     28,                 1.2555,                0.96866,                 1.2327,                0.57974,                0.48002,                0.48169,                0.26295,                 1.6909,                 2.1464,                 2.0659,               0.007327,               0.007327,               0.007327
                     29,                 1.2521,                0.90906,                 1.3089,                0.48178,                0.49312,                 0.4617,                0.24275,                  1.764,                 2.1159,                 2.1582,               0.007228,               0.007228,               0.007228
                     30,                 1.2637,                0.98494,                 1.3305,                0.57298,                0.54851,                0.46982,                0.23377,                 1.6742,                 2.0079,                  2.069,               0.007129,               0.007129,               0.007129
                     31,                 1.2915,                0.99978,                 1.3135,                0.68619,                0.47973,                0.52176,                0.30216,                 1.6125,                 1.8221,                 1.9725,                0.00703,                0.00703,                0.00703
                     32,                 1.2998,                 1.1967,                 1.3409,                0.68321,                0.55743,                0.59119,                0.34032,                 1.5048,                  1.581,                 1.8524,               0.006931,               0.006931,               0.006931
                     33,                 1.3158,                 1.0259,                 1.3205,                0.74675,                0.50338,                0.58984,                0.35831,                 1.4643,                 1.7857,                 1.8912,               0.006832,               0.006832,               0.006832
                     34,                 1.3681,                 1.1239,                 1.4125,                0.69028,                0.53461,                0.58812,                0.33952,                 1.5493,                 1.7951,                  2.039,               0.006733,               0.006733,               0.006733
                     35,                 1.3555,                 1.0354,                 1.3549,                0.72711,                 0.6301,                0.67361,                0.36945,                 1.6938,                 1.8488,                 2.2242,               0.006634,               0.006634,               0.006634
                     36,                 1.2042,                0.87047,                 1.3721,                0.61363,                0.65541,                0.65176,                0.36674,                 1.6577,                  2.023,                 2.2957,               0.006535,               0.006535,               0.006535
                     37,                 1.0871,                0.92813,                 1.3566,                0.77298,                0.62118,                0.70512,                0.38684,                 1.6807,                 1.6115,                 2.2655,               0.006436,               0.006436,               0.006436
                     38,                 1.2453,                0.97957,                 1.3938,                 0.8039,                0.65093,                0.72346,                0.40104,                 1.5635,                 1.5524,                 2.0155,               0.006337,               0.006337,               0.006337
                     39,                 1.2314,                0.92338,                 1.3454,                0.75622,                0.59797,                0.66298,                0.35222,                 1.6471,                 1.5251,                 2.0476,               0.006238,               0.006238,               0.006238
                     40,                 1.3218,                 0.8799,                 1.3442,                0.70257,                0.55743,                0.61172,                0.30751,                 1.7485,                 1.6369,                 2.1228,               0.006139,               0.006139,               0.006139
                     41,                 1.3233,                0.88339,                 1.2991,                0.81443,                0.53716,                0.64313,                 0.3303,                 1.7271,                 1.5512,                 2.0789,                0.00604,                0.00604,                0.00604
                     42,                 1.2939,                 1.0917,                 1.4411,                0.72961,                0.55609,                 0.6315,                0.32267,                 1.7079,                  1.683,                 2.0932,               0.005941,               0.005941,               0.005941
